[2025-09-13 12:27:41] ✅ Đã lưu text từ 000000014201310_BC_rieng_ky.pdf vào folder_2.5_txt\000000014201310_BC_rieng_ky.txt
[2025-09-13 12:27:52] ✅ Đã lưu text từ 000000014201357_SO_1697_CBTT_BCTC_Quy_32024.pdf vào folder_2.5_txt\000000014201357_SO_1697_CBTT_BCTC_Quy_32024.txt
[2025-09-13 12:28:02] ✅ Đã lưu text từ 000000014201563_BC_hop_nhat_ky.pdf vào folder_2.5_txt\000000014201563_BC_hop_nhat_ky.txt
[2025-09-13 12:28:08] ✅ Đã lưu text từ 000000014201901_BAO_CAO_TAI_CHINH_QUY_32024_nen_signed.pdf vào folder_2.5_txt\000000014201901_BAO_CAO_TAI_CHINH_QUY_32024_nen_signed.txt
[2025-09-13 12:28:15] ✅ Đã lưu text từ 000000014202123_BAO_CAO_TAI_CHINH_RIENG_QUY_III.2024.pdf vào folder_2.5_txt\000000014202123_BAO_CAO_TAI_CHINH_RIENG_QUY_III.2024.txt
[2025-09-13 12:28:27] ✅ Đã lưu text từ 000000014202130_BAO_CAO_TAI_CHINH_HOP_NHAT_QUY_III.2024.pdf vào folder_2.5_txt\000000014202130_BAO_CAO_TAI_CHINH_HOP_NHAT_QUY_III.2024.txt
[2025-09-13 12:28:45] ✅ Đã lưu text từ 000000014203004_BCTC_quy_III_nam_2024.pdf vào folder_2.5_txt\000000014203004_BCTC_quy_III_nam_2024.txt
[2025-09-13 12:28:47] ✅ Đã lưu text từ 000000014202146_Bao_cao_tai_chinh_quy_III.2024.pdf vào folder_2.5_txt\000000014202146_Bao_cao_tai_chinh_quy_III.2024.txt
[2025-09-13 12:28:51] ✅ Đã lưu text từ 000000014203037_CBTT_BCTC_Q3.2024.da_ky.pdf vào folder_2.5_txt\000000014203037_CBTT_BCTC_Q3.2024.da_ky.txt
[2025-09-13 12:28:52] ✅ Đã lưu text từ 000000014202622_BCTC_Q3.24_signed.pdf vào folder_2.5_txt\000000014202622_BCTC_Q3.24_signed.txt
[2025-09-13 12:29:05] ✅ Đã lưu text từ 000000014203585_VB_333.CTINC_ngay_18.10.2024_cong_bo_thong_tin_BCTC_Quy_3.2024.pdf vào folder_2.5_txt\000000014203585_VB_333.CTINC_ngay_18.10.2024_cong_bo_thong_tin_BCTC_Quy_3.2024.txt
[2025-09-13 12:29:15] ✅ Đã lưu text từ 000000014203770_CV_142_Cong_bo_thong_tin_bao_cao_tai_chinh_Quy_3.2024.pdf vào folder_2.5_txt\000000014203770_CV_142_Cong_bo_thong_tin_bao_cao_tai_chinh_Quy_3.2024.txt
[2025-09-13 12:29:25] ✅ Đã lưu text từ 000000014203903_GMX__BCTC_QUY_3_NAM_2024.pdf vào folder_2.5_txt\000000014203903_GMX__BCTC_QUY_3_NAM_2024.txt
[2025-09-13 12:29:25] ✅ Đã lưu text từ 000000014204056_Bao_cao_tai_chinh_quy_3_nam_2024.pdf vào folder_2.5_txt\000000014204056_Bao_cao_tai_chinh_quy_3_nam_2024.txt
[2025-09-13 12:29:36] ✅ Đã lưu text từ 000000014204164_BCTC_Quy_III_nam_2024_signed.pdf vào folder_2.5_txt\000000014204164_BCTC_Quy_III_nam_2024_signed.txt
[2025-09-13 12:29:42] ✅ Đã lưu text từ 000000014204690_BCTC_QUI_III_2024_signed.pdf vào folder_2.5_txt\000000014204690_BCTC_QUI_III_2024_signed.txt
